,episode,make_span,reward,min make span
0,0.0,1632.0,-120.31313131313135,1632.0
1,0.0,1593.0,-114.40404040404037,1593.0
2,0.0,1577.0,-111.97979797979797,1577.0
3,0.0,1663.0,-125.0101010101011,1577.0
4,0.0,1683.0,-128.040404040404,1577.0
5,1.0,1707.0,-131.67676767676772,1577.0
6,1.0,1710.0,-132.13131313131322,1577.0
7,1.0,1635.0,-120.76767676767675,1577.0
8,1.0,1662.0,-124.85858585858584,1577.0
9,1.0,1619.0,-118.34343434343434,1577.0
10,2.0,1641.0,-121.67676767676767,1577.0
11,2.0,1642.0,-121.82828282828282,1577.0
12,2.0,1646.0,-122.43434343434345,1577.0
13,2.0,1677.0,-127.13131313131316,1577.0
14,2.0,1712.0,-132.43434343434353,1577.0
15,3.0,1733.0,-135.6161616161616,1577.0
16,3.0,1658.0,-124.25252525252534,1577.0
17,3.0,1615.0,-117.73737373737376,1577.0
18,3.0,1582.0,-112.73737373737376,1577.0
19,3.0,1591.0,-114.10101010101015,1577.0
20,4.0,1708.0,-131.82828282828288,1577.0
21,4.0,1772.0,-141.52525252525257,1577.0
22,4.0,1584.0,-113.04040404040403,1577.0
23,4.0,1591.0,-114.10101010101017,1577.0
24,4.0,1624.0,-119.10101010101015,1577.0
25,5.0,1625.0,-119.2525252525253,1577.0
26,5.0,1694.0,-129.7070707070707,1577.0
27,5.0,1558.0,-109.1010101010101,1558.0
28,5.0,1567.0,-110.4646464646465,1558.0
29,5.0,1729.0,-135.010101010101,1558.0
30,6.0,1606.0,-116.37373737373746,1558.0
31,6.0,1549.0,-107.73737373737377,1549.0
32,6.0,1723.0,-134.10101010101013,1549.0
33,6.0,1649.0,-122.88888888888894,1549.0
34,6.0,1610.0,-116.97979797979804,1549.0
35,7.0,1705.0,-131.37373737373738,1549.0
36,7.0,1607.0,-116.52525252525254,1549.0
37,7.0,1745.0,-137.43434343434345,1549.0
38,7.0,1655.0,-123.79797979797982,1549.0
39,7.0,1633.0,-120.46464646464645,1549.0
40,8.0,1675.0,-126.82828282828285,1549.0
41,8.0,1595.0,-114.70707070707077,1549.0
42,8.0,1610.0,-116.97979797979795,1549.0
43,8.0,1662.0,-124.85858585858587,1549.0
44,8.0,1647.0,-122.5858585858586,1549.0
45,9.0,1557.0,-108.94949494949498,1549.0
46,9.0,1639.0,-121.37373737373741,1549.0
47,9.0,1612.0,-117.28282828282832,1549.0
48,9.0,1780.0,-142.7373737373737,1549.0
49,9.0,1719.0,-133.49494949494954,1549.0
50,10.0,1660.0,-124.55555555555559,1549.0
51,10.0,1580.0,-112.43434343434348,1549.0
52,10.0,1551.0,-108.04040404040407,1549.0
53,10.0,1605.0,-116.2222222222223,1549.0
54,10.0,1642.0,-121.82828282828282,1549.0
55,11.0,1735.0,-135.91919191919192,1549.0
56,11.0,1673.0,-126.5252525252526,1549.0
57,11.0,1679.0,-127.43434343434346,1549.0
58,11.0,1670.0,-126.0707070707071,1549.0
59,11.0,1614.0,-117.58585858585863,1549.0
60,12.0,1666.0,-125.46464646464648,1549.0
61,12.0,1556.0,-108.79797979797988,1549.0
