,episode,make_span,reward,min make span
0,0.0,5554.0,-138.5353535353544,5554.0
1,0.0,5544.0,-136.51515151515244,5544.0
2,0.0,5443.0,-116.11111111111202,5443.0
3,0.0,5527.0,-133.08080808080894,5443.0
4,0.0,5548.0,-137.32323232323319,5443.0
5,1.0,5569.0,-141.5656565656575,5443.0
6,1.0,5541.0,-135.90909090909193,5443.0
7,1.0,5605.0,-148.83838383838503,5443.0
8,1.0,5585.0,-144.7979797979808,5443.0
9,1.0,5465.0,-120.55555555555638,5443.0
10,2.0,5530.0,-133.68686868686973,5443.0
11,2.0,5559.0,-139.54545454545547,5443.0
12,2.0,5536.0,-134.89898989899086,5443.0
13,2.0,5573.0,-142.3737373737384,5443.0
14,2.0,5611.0,-150.05050505050593,5443.0
15,3.0,5541.0,-135.90909090909173,5443.0
16,3.0,5474.0,-122.37373737373805,5443.0
17,3.0,5495.0,-126.61616161616254,5443.0
18,3.0,5611.0,-150.05050505050605,5443.0
19,3.0,5545.0,-136.7171717171725,5443.0
20,4.0,5537.0,-135.10101010101124,5443.0
21,4.0,5559.0,-139.54545454545547,5443.0
22,4.0,5539.0,-135.5050505050513,5443.0
23,4.0,5548.0,-137.32323232323333,5443.0
24,4.0,5578.0,-143.38383838383947,5443.0
25,5.0,5572.0,-142.17171717171811,5443.0
26,5.0,5607.0,-149.24242424242505,5443.0
27,5.0,5489.0,-125.40404040404127,5443.0
28,5.0,5508.0,-129.24242424242524,5443.0
29,5.0,5600.0,-147.82828282828368,5443.0
30,6.0,5577.0,-143.18181818181918,5443.0
31,6.0,5641.0,-156.11111111111208,5443.0
32,6.0,5646.0,-157.12121212121318,5443.0
33,6.0,5522.0,-132.07070707070804,5443.0
34,6.0,5573.0,-142.37373737373827,5443.0
35,7.0,5591.0,-146.010101010102,5443.0
36,7.0,5513.0,-130.2525252525261,5443.0
37,7.0,5503.0,-128.23232323232403,5443.0
38,7.0,5451.0,-117.7272727272735,5443.0
39,7.0,5494.0,-126.41414141414238,5443.0
40,8.0,5603.0,-148.43434343434427,5443.0
41,8.0,5447.0,-116.91919191919291,5443.0
42,8.0,5519.0,-131.4646464646473,5443.0
43,8.0,5462.0,-119.94949494949583,5443.0
44,8.0,5435.0,-114.49494949495016,5435.0
45,9.0,5510.0,-129.64646464646546,5435.0
46,9.0,5557.0,-139.14141414141486,5435.0
47,9.0,5563.0,-140.3535353535363,5435.0
48,9.0,5545.0,-136.71717171717248,5435.0
49,9.0,5474.0,-122.37373737373824,5435.0
50,10.0,5596.0,-147.02020202020304,5435.0
51,10.0,5432.0,-113.88888888888957,5432.0
52,10.0,5544.0,-136.51515151515235,5432.0
53,10.0,5515.0,-130.6565656565665,5432.0
54,10.0,5469.0,-121.36363636363717,5432.0
55,11.0,5532.0,-134.09090909090997,5432.0
56,11.0,5487.0,-125.00000000000078,5432.0
57,11.0,5480.0,-123.5858585858596,5432.0
58,11.0,5561.0,-139.94949494949574,5432.0
59,11.0,5473.0,-122.17171717171809,5432.0
60,12.0,5517.0,-131.0606060606069,5432.0
61,12.0,5542.0,-136.11111111111205,5432.0
62,12.0,5500.0,-127.6262626262636,5432.0
63,12.0,5494.0,-126.41414141414221,5432.0
64,12.0,5503.0,-128.2323232323241,5432.0
65,13.0,5515.0,-130.6565656565667,5432.0
66,13.0,5586.0,-145.00000000000085,5432.0
67,13.0,5618.0,-151.46464646464753,5432.0
68,13.0,5551.0,-137.9292929292938,5432.0
69,13.0,5516.0,-130.85858585858674,5432.0
70,14.0,5525.0,-132.67676767676883,5432.0
71,14.0,5556.0,-138.93939393939485,5432.0
72,14.0,5527.0,-133.08080808080905,5432.0
73,14.0,5507.0,-129.0404040404049,5432.0
74,14.0,5504.0,-128.4343434343443,5432.0
75,15.0,5537.0,-135.10101010101081,5432.0
76,15.0,5529.0,-133.48484848484938,5432.0
77,15.0,5523.0,-132.27272727272808,5432.0
78,15.0,5562.0,-140.15151515151615,5432.0
79,15.0,5569.0,-141.56565656565758,5432.0
80,16.0,5511.0,-129.84848484848558,5432.0
81,16.0,5555.0,-138.73737373737467,5432.0
82,16.0,5500.0,-127.62626262626355,5432.0
83,16.0,5519.0,-131.46464646464722,5432.0
