,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
ft10_100,894,896,840,926,840,981,1008,986,1092,1167,1135,933
ft10_20,1161,1031,1027,1007,1044,1043,1193,1298,1167,1291,1196,1218
ft10_40,1023,998,1070,968,1001,1121,1182,1086,1120,1102,1042,972
ft10_60,975,952,982,886,868,971,1123,1125,1228,1228,1125,1083
ft10_80,1029,902,951,964,902,1048,970,1053,1160,1076,1053,1087
la26_100,1569,1430,1439,1438,1377,1458,1795,1831,1600,1659,1813,1646
la26_20,1503,1459,1465,1539,1449,1478,1840,1854,1864,1829,1867,1861
la26_40,1705,1588,1563,1428,1584,1563,1857,1914,1967,1965,1855,1794
la26_60,1547,1541,1459,1540,1495,1514,1703,1861,1765,1680,2045,1840
la26_80,1620,1479,1440,1494,1506,1533,1717,1691,1759,1833,1848,1698
la31_100,2213,1858,1886,1891,1858,1996,2522,2353,2327,2427,2352,2197
la31_20,1926,2014,1825,1909,1968,1911,2246,2336,2231,2326,2505,2172
la31_40,2371,1871,1866,1860,1848,1992,2374,2352,2338,2451,2235,2317
la31_60,1975,1794,1828,1878,1784,1846,2300,2557,2168,2190,2346,2269
la31_80,2260,1784,1818,1811,1784,1875,2075,2545,2048,2393,2471,2016
ta41_100,2518,2436,2375,2386,2364,2635,3282,3198,3067,3161,3054,3224
ta41_20,2621,2390,2380,2360,2309,2474,3031,2971,3023,2902,3076,2762
ta41_40,2623,2302,2334,2373,2279,2519,2886,2904,3072,3108,2757,2560
ta41_60,2327,2333,2427,2334,2257,2502,2765,3132,3034,2896,3449,2716
ta41_80,2711,2446,2430,2542,2438,2514,2941,2999,3142,2976,2967,2795
