,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
ft10_100_25,1019,1122,1186,1186,1091,1266,1317,1236,1464,1337,1297,1119
ft10_100_50,1194,1130,1192,1162,1136,1331,1423,1387,1362,1485,1307,1301
ft10_100_75,1202,1189,1216,1257,1141,1309,1288,1287,1430,1145,1373,1333
ft10_25_25,1192,1126,1151,1160,1084,1276,1181,1317,1243,1251,1317,1208
ft10_25_50,1194,1115,1255,1197,1073,1230,1350,1271,1392,1515,1366,1191
ft10_25_75,1079,1168,1162,1153,1174,1193,1395,1318,1355,1533,1223,1244
ft10_50_25,1032,1120,1141,1119,1092,1267,1381,1258,1170,1332,1258,1276
ft10_50_50,1123,1066,1124,1143,1051,1208,1243,1187,1253,1322,1053,1309
ft10_50_75,1222,1220,1208,1246,1153,1321,1379,1323,1432,1548,1451,1421
ft10_75_25,1266,1115,1147,1157,1140,1146,1395,1361,1173,1178,1247,1317
ft10_75_50,1158,1119,1169,1178,1095,1255,1321,1166,1372,1194,1244,1308
ft10_75_75,1391,1249,1246,1294,1162,1290,1301,1393,1369,1471,1478,1390
la26_100_25,1521,1392,1484,1381,1334,1453,1619,1630,1627,1539,1619,1569
la26_100_50,1930,1475,1444,1522,1418,1487,1672,2025,1952,1927,2018,1720
la26_100_75,1648,1469,1557,1611,1476,1461,1688,1903,1619,1777,1793,1729
la26_25_25,1575,1423,1477,1438,1414,1487,1721,1763,1887,1834,1733,1801
la26_25_50,1772,1392,1387,1469,1383,1510,1642,1646,1716,1976,1914,1550
la26_25_75,1709,1481,1472,1470,1454,1555,1779,1836,1930,2124,1766,2023
la26_50_25,1613,1441,1415,1405,1365,1427,1675,1783,1761,1827,1690,1531
la26_50_50,1784,1414,1472,1464,1368,1586,1553,1792,1761,1735,1653,1579
la26_50_75,1589,1506,1479,1480,1525,1557,1699,1941,1734,1953,1876,1640
la26_75_25,1619,1418,1352,1426,1289,1522,1614,1775,1699,1590,1625,1538
la26_75_50,1523,1389,1412,1394,1420,1487,1580,1878,1909,1830,1828,1565
la26_75_75,1575,1421,1465,1505,1413,1533,1833,1676,1828,1879,1803,1653
la31_100_25,1879,1919,1843,1810,1816,1875,2407,2360,2160,2308,2318,2208
la31_100_50,1999,1870,1909,1870,1870,1930,2210,2399,2215,2285,2298,2185
la31_100_75,2207,2056,2036,1886,1983,1938,2284,2603,2452,2365,2459,2287
la31_25_25,1932,1916,1807,1813,1848,1857,2215,2305,2189,2376,2358,2138
la31_25_50,1939,1895,1813,1813,1963,1851,2376,2408,2266,2239,2346,2171
la31_25_75,2002,1907,1790,1738,1843,1893,2365,2503,2211,2223,2490,2057
la31_50_25,1992,1930,1820,1804,1853,1879,2175,2393,2311,2124,2360,2205
la31_50_50,2151,1906,1808,1824,1841,1977,2334,2268,2207,2133,2476,2258
la31_50_75,2112,1889,1840,1867,1898,1967,2374,2563,2476,2222,2405,2065
la31_75_25,1922,1918,1945,1861,1885,1945,2238,2437,2289,2144,2459,2153
la31_75_50,2166,1943,1923,1917,1917,1983,2530,2409,2114,2215,2404,2428
la31_75_75,1962,1911,1809,1760,1798,1855,2205,2161,2163,2231,2262,2029
ta41_100_25,2540,2532,2529,2540,2538,2602,2880,2896,3222,3027,3001,3156
ta41_100_50,2589,2737,2684,2581,2633,2708,3171,2869,3142,3290,3099,3092
ta41_100_75,2557,2776,2687,2646,2641,2866,3075,3392,3467,3091,3601,2874
ta41_25_25,2605,2619,2576,2515,2585,2608,2883,2786,3189,3183,2887,2758
ta41_25_50,2599,2577,2607,2501,2573,2622,2926,2944,3005,3134,3124,2793
ta41_25_75,2549,2611,2632,2573,2576,2835,3047,2944,3080,2954,3098,2988
ta41_50_25,2640,2586,2630,2516,2624,2716,3146,3083,3141,3258,3062,2698
ta41_50_50,2567,2721,2622,2549,2614,2736,3139,3101,3266,3136,3353,2961
ta41_50_75,2748,2725,2711,2670,2572,2662,2963,3132,3257,3544,3389,3105
ta41_75_25,2422,2634,2539,2573,2476,2594,3018,3276,3087,3250,3015,2916
ta41_75_50,2537,2539,2539,2493,2455,2478,3099,3032,3016,3158,2801,2836
ta41_75_75,2638,2569,2605,2486,2517,2799,3118,3069,3116,2974,3188,2773
